﻿id,address,longitude,latitude,time,job_type,result,vehicle,distance,arrived_time,complete_time
SP071,서울특별시 송파구 오금동 100-49,127.118824,37.528165,12:20:19,call,completed,vehicle_015,2.330,12:31:33,12:41:33
SP072,서울특별시 송파구 풍납동 127-47,127.136693,37.543606,11:38:01,normal,completed,vehicle_015,1.130,11:44:49,11:54:49
SP073,서울특별시 송파구 석촌동 119-11,127.101213,37.518832,13:14:03,emergency,rejected,,,,
SP074,서울특별시 송파구 문정동 63-38,127.128577,37.541604,12:54:45,normal,completed,vehicle_005,0.953,13:04:51,13:14:51
SP075,서울특별시 송파구 방이동 170-41,127.132057,37.506391,12:03:44,emergency,completed,vehicle_014,1.079,12:21:30,12:31:30
SP076,서울특별시 송파구 거여동 81-32,127.11727,37.519218,13:37:13,normal,completed,vehicle_012,1.752,13:43:22,13:53:22
SP077,서울특별시 송파구 잠실동 146-24,127.125777,37.548932,11:06:53,call,completed,vehicle_015,1.598,11:14:20,11:24:20
SP078,서울특별시 송파구 가락동 115-3,127.134056,37.49824,11:20:16,emergency,completed,vehicle_013,0.878,11:26:02,11:36:02
SP079,서울특별시 송파구 문정동 25-47,127.158944,37.547666,11:41:10,normal,completed,vehicle_008,0.329,11:54:05,12:04:05
SP080,서울특별시 송파구 마천동 88-21,127.103479,37.497419,10:11:41,normal,completed,vehicle_011,1.470,10:18:47,10:28:47
SP081,서울특별시 송파구 삼전동 91-5,127.12668,37.534577,10:37:13,call,completed,vehicle_015,3.014,10:51:53,11:01:53
SP082,서울특별시 송파구 석촌동 33-30,127.125297,37.504505,13:34:37,normal,completed,vehicle_010,3.810,13:50:59,14:00:59
SP083,서울특별시 송파구 거여동 111-33,127.143735,37.503493,11:47:03,call,completed,vehicle_014,0.970,11:53:12,12:03:12
SP084,서울특별시 송파구 문정동 71-16,127.135309,37.497239,12:27:25,emergency,completed,vehicle_006,0.561,12:31:12,12:41:12
SP085,서울특별시 송파구 거여동 131-41,127.14805,37.507665,10:45:00,emergency,completed,vehicle_006,1.529,10:53:16,11:03:16
SP086,서울특별시 송파구 문정동 101-17,127.114154,37.490685,10:42:56,normal,completed,vehicle_014,0.669,10:47:12,10:57:12
SP087,서울특별시 송파구 방이동 30-9,127.106719,37.521718,10:47:30,emergency,completed,vehicle_009,0.442,10:49:33,10:59:33
SP088,서울특별시 송파구 오금동 83-21,127.14489,37.530473,12:08:22,call,completed,vehicle_004,0.957,12:15:32,12:25:32
SP089,서울특별시 송파구 문정동 105-4,127.131046,37.524198,13:31:24,emergency,completed,vehicle_006,2.631,13:45:55,13:55:55
SP090,서울특별시 송파구 오금동 51-33,127.109857,37.531622,12:08:34,emergency,completed,vehicle_009,1.136,12:23:22,12:33:22
SP091,서울특별시 송파구 풍납동 177-25,127.1538,37.490969,11:58:07,call,completed,vehicle_013,1.430,12:14:30,12:24:30
SP092,서울특별시 송파구 잠실동 149-33,127.110653,37.536738,13:11:31,normal,completed,vehicle_010,1.923,13:20:09,13:30:09
SP093,서울특별시 송파구 풍납동 55-28,127.158432,37.502856,10:10:27,call,completed,vehicle_010,2.638,10:26:06,10:36:06
SP094,서울특별시 송파구 잠실동 64-48,127.14805,37.493913,10:11:16,normal,completed,vehicle_006,1.606,10:24:43,10:34:43
SP095,서울특별시 송파구 잠실동 9-33,127.142368,37.496645,13:25:01,normal,completed,vehicle_013,0.534,13:28:58,13:38:58
SP096,서울특별시 송파구 잠실본동 198-1,127.130132,37.507206,13:17:02,normal,completed,vehicle_012,1.566,13:25:41,13:35:41
SP097,서울특별시 송파구 잠실본동 162-13,127.148688,37.547425,13:53:57,call,completed,vehicle_014,3.183,14:08:28,14:18:28
SP098,서울특별시 송파구 잠실본동 51-26,127.106384,37.517749,10:07:55,emergency,completed,vehicle_009,0.792,10:14:28,10:24:28
SP099,서울특별시 송파구 방이동 184-12,127.143519,37.491928,13:00:15,call,completed,vehicle_013,0.913,13:11:35,13:21:35
SP100,서울특별시 송파구 오금동 106-23,127.105002,37.513214,12:39:25,normal,completed,vehicle_001,0.582,12:44:41,12:54:41
